row_index,original_selected_alpha,spuc_selected_alpha,original_best_score,spuc_best_score,action_changed,archived_post_correct,sample_id,condition,ground_truth,baseline_prediction
0,1.0,1.0,0.03093769885116907,0.030937744879792426,False,True,pccv3_n01_dense_r00,dense,1,1
1,1.0,1.0,0.07429955593443861,0.07429955593443861,False,True,pccv3_n01_dense_r01,dense,1,1
2,1.0,1.0,0.02749895540615741,0.02749895540615741,False,True,pccv3_n01_dense_r02,dense,1,1
3,1.0,1.0,0.05773835437469621,0.05773835437469621,False,True,pccv3_n01_dense_r03,dense,1,1
4,1.0,1.0,0.060138002458794484,0.060138002458794484,False,True,pccv3_n01_dense_r04,dense,1,1
5,1.0,1.0,0.037323403765031765,0.037323403765031765,False,True,pccv3_n01_dense_r05,dense,1,1
6,1.0,1.0,0.041338540797165466,0.041338540797165466,False,True,pccv3_n01_dense_r06,dense,1,1
7,1.0,1.0,0.05221971134710049,0.05221971134710049,False,True,pccv3_n01_dense_r07,dense,1,1
8,1.0,1.0,0.029968865497086734,0.029968865497086734,False,True,pccv3_n01_dense_r08,dense,1,1
9,1.0,1.0,0.06038558747476164,0.06038558747476164,False,True,pccv3_n01_dense_r09,dense,1,1
10,1.0,1.0,0.049143627489613,0.049143627489613,False,True,pccv3_n01_dense_r10,dense,1,1
11,1.0,1.0,0.06330333708029964,0.06330333708029964,False,True,pccv3_n01_dense_r11,dense,1,1
12,1.0,1.0,0.038784775771662894,0.038784775771662894,False,True,pccv3_n01_dense_r12,dense,1,1
13,1.0,1.0,0.036533152508513744,0.036533152508513744,False,True,pccv3_n01_dense_r13,dense,1,1
14,1.0,1.0,0.043625669170316045,0.043625669170316045,False,True,pccv3_n01_dense_r14,dense,1,1
15,1.0,1.0,0.034847486210421136,0.034847507381394166,False,True,pccv3_n01_dense_r15,dense,1,1
16,1.0,1.0,0.03153954019434496,0.03153954019434496,False,True,pccv3_n01_dense_r16,dense,1,1
17,1.0,1.0,0.047132123191509084,0.047132123191509084,False,True,pccv3_n01_dense_r17,dense,1,1
18,1.0,1.0,0.043525407126989824,0.043525407126989824,False,True,pccv3_n01_dense_r18,dense,1,1
19,1.0,1.0,0.029121222008392098,0.029121222008392098,False,True,pccv3_n01_dense_r19,dense,1,1
20,1.0,1.0,0.060913372944984195,0.060913372944984195,False,True,pccv3_n01_dense_r20,dense,1,1
21,1.0,1.0,0.032885194474520055,0.032885194474520055,False,True,pccv3_n01_dense_r21,dense,1,1
22,1.0,1.0,0.03337625816273529,0.03337625816273529,False,True,pccv3_n01_dense_r22,dense,1,1
23,1.0,1.0,0.0362712671060067,0.0362712671060067,False,True,pccv3_n01_dense_r23,dense,1,1
