answer_int,count,fraction
0,294,0.118548387097
1,346,0.139516129032
2,518,0.208870967742
3,343,0.138306451613
4,230,0.092741935484
5,171,0.068951612903
6,108,0.043548387097
7,70,0.028225806452
8,41,0.016532258065
9,30,0.012096774194
10,36,0.014516129032
11,24,0.009677419355
12,37,0.014919354839
13,17,0.006854838710
14,14,0.005645161290
15,13,0.005241935484
16,13,0.005241935484
17,7,0.002822580645
18,7,0.002822580645
19,10,0.004032258065
20,4,0.001612903226
21,1,0.000403225806
22,6,0.002419354839
23,2,0.000806451613
24,2,0.000806451613
25,3,0.001209677419
26,2,0.000806451613
27,3,0.001209677419
28,1,0.000403225806
29,2,0.000806451613
30,1,0.000403225806
31,2,0.000806451613
33,1,0.000403225806
34,2,0.000806451613
35,2,0.000806451613
36,3,0.001209677419
37,1,0.000403225806
38,1,0.000403225806
39,1,0.000403225806
40,1,0.000403225806
43,2,0.000806451613
45,1,0.000403225806
46,1,0.000403225806
51,1,0.000403225806
55,2,0.000806451613
56,2,0.000806451613
58,4,0.001612903226
60,1,0.000403225806
61,3,0.001209677419
62,1,0.000403225806
63,1,0.000403225806
64,3,0.001209677419
66,1,0.000403225806
67,1,0.000403225806
68,2,0.000806451613
69,2,0.000806451613
70,1,0.000403225806
71,1,0.000403225806
73,1,0.000403225806
74,3,0.001209677419
78,2,0.000806451613
80,2,0.000806451613
81,2,0.000806451613
82,1,0.000403225806
83,1,0.000403225806
84,1,0.000403225806
85,1,0.000403225806
86,1,0.000403225806
87,1,0.000403225806
88,2,0.000806451613
89,2,0.000806451613
90,1,0.000403225806
92,2,0.000806451613
94,1,0.000403225806
95,1,0.000403225806
96,1,0.000403225806
98,1,0.000403225806
100,2,0.000806451613
102,1,0.000403225806
105,1,0.000403225806
107,3,0.001209677419
108,1,0.000403225806
110,2,0.000806451613
111,1,0.000403225806
112,1,0.000403225806
113,1,0.000403225806
114,3,0.001209677419
115,1,0.000403225806
117,4,0.001612903226
118,2,0.000806451613
119,1,0.000403225806
120,3,0.001209677419
123,1,0.000403225806
124,1,0.000403225806
125,2,0.000806451613
126,3,0.001209677419
128,1,0.000403225806
129,2,0.000806451613
130,3,0.001209677419
131,1,0.000403225806
133,1,0.000403225806
135,1,0.000403225806
136,2,0.000806451613
137,1,0.000403225806
139,1,0.000403225806
144,1,0.000403225806
145,1,0.000403225806
149,4,0.001612903226
