question_id,subset,image,image_id,selection_hash
923540615566,complex,VG_100K/2354061.jpg,92354061,001524ed81643e5c7b9f83fabb97bb465c136cb9cf459604bb55e79c892b04b9
923227024331,complex,VG_100K/2322702.jpg,92322702,00249e3c8f5f4fb6c9bb3df1d3b8742d86c40f1b587f20b8cb389d60dcf60783
924113986839,complex,VG_100K_2/2411398.jpg,92411398,002d7752c1869bf9801ba9040c5a45649a25453fa44d77782091c416d3f6d878
924094611451,complex,VG_100K_2/2409461.jpg,92409461,004dc97add91ded4a6a4ff1af3b799210cf8be80c63ed2f53185d7a9965a019f
924021842973,complex,VG_100K_2/2402184.jpg,92402184,0052f8e6693a0da53a6175eca76163c92707e64555a204841d92689f0b06eb15
9241447211051,complex,VG_100K_2/2414472.jpg,92414472,0053b869884863d23c213307ffc7835b5a30c848b313b8ce53752c32301c5e7f
9238263316942,complex,VG_100K_2/2382633.jpg,92382633,00564ad00e9318b1519f9af2468682efb963a30d7948fd7e6af286aabc6cec9b
9241073720807,complex,VG_100K_2/2410737.jpg,92410737,007d7d6ff475e9afee1b36f605bf9dcef11896590b45f419cdc76459d9a0b6d5
9240132213909,complex,VG_100K_2/2401322.jpg,92401322,00fc8310bb7ab3f35cb33673ea1a69695b176d46c4f2fa2a1583ccf5e261f188
92371011710,complex,VG_100K/2371011.jpg,92371011,0102979c479554e6eb2520caae7d30c391ba87ac0826826d52d46431dc7d1652
9236985112112,complex,VG_100K/2369851.jpg,92369851,0105954bd2420362d1f434555a7cb9c191d4e2efa9be4a68d2f43e547f4b500a
9235689019279,complex,VG_100K/2356890.jpg,92356890,012e42324aeead82c141e914ba70d06e46ffb6dce78fdaec8508d15ff9b0dbf4
923790212234,complex,VG_100K_2/2379021.jpg,92379021,016cc1dced6f9180d964e8dbd4537a45e8f344ed045b97a7192c38637bd2ac2a
923904797882,complex,VG_100K_2/2390479.jpg,92390479,01886d7377efc6b720ba95094396f433b467a3628f82219df20abd68d44a0ba3
9240757818279,complex,VG_100K_2/2407578.jpg,92407578,019038e8c9d32f180e6c90beb7df99c3af6c5ad1111eef00322f7aaccb2d3de7
9238821217344,complex,VG_100K_2/2388212.jpg,92388212,01c9d4754531c50226ae3b4a536cf7dc26d8f46b1d164f31867d9b95e95da168
